Title, Company, Rating, Location, Summary, Job Link, KeyWord Similarity, Sentence Similarity, Overall Similarity, Recommended Words
Software Engineering Internship - NYC,Two Sigma Investments LLC.,3.8,New York NY,Technology drives our business — it's our main advantage — and software engineers play a pivotal role.Software engineers at Two Sigma focus on analysis…,https://www.indeed.com/viewjob?jk=a27cfffaf4c528c4&fccid=facc18fe475dac15&vjs=3,84.47,46.01,130.48,team build engineers tools infrastructure systems help technology develop business
2021 AI Research Summer Associate Program,JPMorgan Chase Bank N.A.,3.9,New York NY,Practical software engineering experience in collaborative project settings.Comfort with rapid prototyping and disciplined software development processes.,https://www.indeed.com/viewjob?jk=bb61b888029d1438&fccid=aaf3b433897ea465&vjs=3,73.12,54.22,127.34,research impact team areas problems services applications conferences banking fields clients many
Applied AI/ML Bell Labs Summer Intern,BLCTO Bell Labs & CTO,-,Murray Hill NJ,Work in close cooperation with the mentor and other interns.Experience with the software development life cycle and version control/Git is a plus.,https://www.indeed.com/viewjob?jk=813ade85a6adb4f5&fccid=01a6959495205d9e&vjs=3,72.98,51.42,124.4,nokia bell create technology labs applications building people training network research
Software Engineering Intern - Summer 2021,MongoDB,3.7,New York NY 10019 (Midtown area),Interns are fully integrated software engineers who spend the summer pushing production level code.As an intern you will collaborate with full-time engineers…,https://www.indeed.com/viewjob?jk=8ca5db1d63efc29b&fccid=5c80575a010bbc63&vjs=3,74.52,46.94,121.46,engineers computer help development level languages employment protected curious minds build
2021 Software Engineer Program - Summer Internship Opportuni...,JPMorgan Chase Bank N.A.,3.9,New York NY,Computer Science and/or Engineering majors are preferred while other majors may be considered.Pursuing a B.A. B.S. or 5th year M.A. or M.S. with expected…,https://www.indeed.com/viewjob?jk=183ed0f76d224516&fccid=aaf3b433897ea465&vjs=3,69.95,49.85,119.8,technology complete solutions team global build clients people innovative customers tech engineer
Cyber Security Software Development Engineer Co-Op Advanced...,CACI,3.8,Florham Park NJ 07932,Design implement and test research prototype software.Integrate software into larger system design test cases and evaluate solution effectiveness.,https://www.indeed.com/viewjob?jk=0f8941b5ca134440&fccid=290a4498a64fc044&vjs=3,67.9,51.04,118.94,computer security development networking solutions environment research cyber network systems technical prototype
Software Engineer Intern Software Reliability Engineer,TuSimple Inc.,-,New York NY,The Software Reliability Engineer will be a part of a team working on a variety of software engineering tasks to create and maintain scalable solutions and…,https://www.indeed.com/viewjob?jk=e69ed47c6c78ce21&fccid=fea34c44eddebdae&vjs=3,67.86,49.3,117.16,service infrastructure problems services complex immediate reliability create scalable reliable maintain systems
Software Engineer Intern,Balyasny,4,New York NY,Participate in all parts of software development lifecycle – you will take part of the design implementation and rollout of production systems.,https://www.indeed.com/viewjob?jk=8ff009504101ef2f&fccid=3187d6d05b329ebf&vjs=3,72.66,43.52,116.18,team motivated teams knowledge asset management 2001 institutional dedicated delivering consistent uncorrelated
2021 Software Engineer Summer Internship,Lazard Ltd.,3.9,New York NY,Experience in the full software development lifecycle (requirements gathering designing building testing and maintenance).,https://www.indeed.com/viewjob?jk=a37d370c621405b5&fccid=f16b975bd9c56fcd&vjs=3,65.9,46.18,112.08,programming designing engineer building testing early object oriented databases preferred lazard analytics
Business Analysis/Technical Internship,Sumitomo Mitsui Banking Corporation,3.4,New York NY 11205 (Clinton Hill area),General IT Business Analysis support including:Documentation and change control mangement.Interested in Information Technology and Software Development Life…,https://www.indeed.com/viewjob?jk=e606f4c34044e25c&fccid=e6ac082831bf0db9&vjs=3,66.88,44.39,111.27,markets business derivatives information overviewsmbc analyst groupsmbc trading since 1988 city offices
Business Analysis/Technical Internship,Sumitomo Mitsui Banking Corporation,3.4,New York NY 11205 (Clinton Hill area),General IT Business Analysis support including:Documentation and change control mangement.Interested in Information Technology and Software Development Life…,https://www.indeed.com/viewjob?jk=e606f4c34044e25c&fccid=e6ac082831bf0db9&vjs=3,66.88,44.39,111.27,markets business derivatives information overviewsmbc analyst groupsmbc trading since 1988 city offices
Full Stack Web Developer for EdTech/Healthcare Startup Inter...,Smart Course,-,New York NY,All previous startup staff were volunteers or interns first.In his 4 previous startups all staff members were cultivated and recruited from volunteer/ intern…,https://www.indeed.com/viewjob?cmp=SmartCourse&t=Full-Stack-Web-Developer-Edtech-Healthcare-Startup-Intern&jk=4c0edd7ef55d112d,55.98,53.17,109.15,customer development education technology kids startup research marketing management caregivers edtech design agile product
Software Engineering Summer Internship 2021,Tapad,-,New York NY,Our ideal candidates are engineers who can apply Computer Science principles to solve challenging problems and expand Tapad's product offerings.,https://www.indeed.com/viewjob?jk=e6ce782cff161094&fccid=c63a4b95712b07d4&vjs=3,62.36,46.26,108.62,engineers scale technologies team development technology scala lunches make solve problems tapads product
WordPress Developer & Admin for EdTech Startup Intern,Smart Course,-,New York NY,All previous startup staff were volunteers or interns first.In his 4 previous startups all staff members were cultivated and recruited from volunteer/ intern…,https://www.indeed.com/viewjob?cmp=SmartCourse&t=Wordpress-Developer-Admin-Edtech-Startup-Intern&jk=7b257973636e3a7c,55.7,52.84,108.54,customer education technology kids startup research development caregivers marketing management edtech design products professionals
